13.8,20.8,6.8,9.4931,0.871,48416.93603,10.7,0,23.586,0.04
12.1,17.9,6.5,11.5393,0.824,45342.39574,12.6,1,20.907,0.6
9.6,15,4.3,3.1129,0.86,17875.76115,11.5,0,0.259,0.052
10,12.8,7.3,4.4315,0.87,2612.000995,3.8,0,0.101,0.06
6.7,12.3,1.9,8.4361,0.752,12004.57383,9.8,0,6.706,0.228
9.1,13.6,4.8,11.1392,0.806,53074.54012,13.4,0,13.202,0.335
8.7,15.8,2.9,4.4487,0.944,4746.684995,2.7,0,0.058,0.011
3.8,6.1,1.5,8.4543,0.706,29592.15242,10.4,0,5.803,0.027
2.9,4.4,1.7,5.8203,0.557,8462.374008,2.4,0,0.492,0.006
10.5,12.7,8.4,5.4783,0.837,2504.869745,1.3,0,0.025,0
7.4,8.9,6.1,6.0901,0.868,1799.067891,4.8,0,0,0.056
30.2,46.6,14.2,4.2433,0.523,8640.73737,6.3,1,0.911,0.13
12.2,18.3,6.4,5.3857,0.856,1866.617589,5.8,0,0.075,0.019
3.4,5.3,1.7,8.402,0.513,5138.752457,4,0,0.658,0.022
13.6,22.2,6.2,7.3648,0.746,31102.50275,11.4,0,11.079,0.03
13.3,21.7,4.7,8.2915,0.913,57303.06078,9.1,0,22,0.303
16.5,18.5,14.5,3.6212,0.356,7762.88177,5.7,0,0.292,0.01
3.7,5.2,2.2,3.1245,0.608,13079.6193,0.8,0,0.31,0.019
4,4.9,3.1,8.1028,0.224,19098,1,1,2.016,0.049
4.1,4.7,3.4,3.3122,0.211,17435.85393,0.4,0,0.343,0.006
10.9,17.6,4.2,7.3783,0.776,83203.39468,13,1,17.43,0.617
5.2,8.2,2.4,7.3144,0.836,39919.16965,3.8,1,9.87,0.161
5.5,8.4,2.6,8.9355,0.663,41830.42633,7.5,0,5.978,0
23,32,13,4.4036,0.64,4207.086934,8.4,0,0.13,0.009
2,3.2,0.9,6.0724,0.79,9326.664059,4.2,0,1.149,0.035
14.3,20.5,8.1,10.9261,0.683,42797.45852,8,1,11.867,8.314
3.7,4.7,2.7,5.4682,0.231,9478.904588,0.7,0,1.125,0.055
22.8,40.1,7.7,3.5261,0.871,27879.75195,7.7,0,6.26,0.2
5.6,9.7,2.1,4.5496,0.859,3467.556478,3.4,0,0.184,0.002
2.2,2.5,1.7,3.9039,0.524,72897.56235,0,0,2.62,0.03
9.1,14.8,3.7,6.6253,0.705,3884.708809,6.2,0,1.688,0.085
9.3,12.9,6.1,2.3609,0.967,7439.59936,10.4,0,0.03,0
